slot_id,table,table_label,task_family,config,config_slug,trial,trial_index,n_trials,model,harness,effort,arm,arm_confidence,arm_evidence,outcome,label_confidence,label_confidence_autoparse,label_adjudicated,self_report_disagrees_with_audit,accounting,time_min,tokens_k,cost_usd,session_stamp,still_id,image_480,image_960
assembly-fourpair-t01,table1,Table 1 (main results),Four pair assembly,Four pair assembly,four_pair_assembly,01,1,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record: ARMS=right,success,explicit success,explicit success,no,no,recorded,38.58625000317891,12837.668,16.919216,20260909_173954,assembly-fourpair-t01,img/trials/assembly-fourpair-t01_480.webp,img/trials/assembly-fourpair-t01_960.webp
assembly-fourpair-t02,table1,Table 1 (main results),Four pair assembly,Four pair assembly,four_pair_assembly,02,2,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record: ARMS=right,success,explicit success,explicit success,no,no,recorded,53.02403781414032,17140.029,22.905378,20260909_181930,assembly-fourpair-t02,img/trials/assembly-fourpair-t02_480.webp,img/trials/assembly-fourpair-t02_960.webp
assembly-fourpair-t03,table1,Table 1 (main results),Four pair assembly,Four pair assembly,four_pair_assembly,03,3,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record: ARMS=right,failure,explicit failure,explicit failure,no,no,recorded,89.24330714941024,40405.794,48.390284,20260909_191715,assembly-fourpair-t03,img/trials/assembly-fourpair-t03_480.webp,img/trials/assembly-fourpair-t03_960.webp
assembly-fourpair-t04,table1,Table 1 (main results),Four pair assembly,Four pair assembly,four_pair_assembly,04,4,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record: ARMS=right,success,explicit success,explicit success,no,no,recorded,47.193112214406334,16056.229,19.944202,20260909_204906,assembly-fourpair-t04,img/trials/assembly-fourpair-t04_480.webp,img/trials/assembly-fourpair-t04_960.webp
assembly-fourpair-t05,table1,Table 1 (main results),Four pair assembly,Four pair assembly,four_pair_assembly,05,5,5,GPT-6 Astra,Codex CLI,high,right,confirmed,"single arm (right); session record rig_identity.json for session 20260906_183723: can_channel ""can_follower_r"" (the right follower CAN bus) and runtime config right_arm.yaml, with the same runtime argv; resolved 2026-09-11 from the session's own runtime record",success,unclear,unclear,no,no,recorded,78.22697273492813,42987.676,49.878024,20260906_183723,assembly-fourpair-t05,img/trials/assembly-fourpair-t05_480.webp,img/trials/assembly-fourpair-t05_960.webp
blocks-pyramid-t01,table1,Table 1 (main results),Block construction,Pyramid,pyramid,01,1,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,16.80269556840261,6362.825,8.168162,20260904_155618,blocks-pyramid-t01,img/trials/blocks-pyramid-t01_480.webp,img/trials/blocks-pyramid-t01_960.webp
blocks-pyramid-t02,table1,Table 1 (main results),Block construction,Pyramid,pyramid,02,2,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,23.22117833296458,8656.675,11.149094,20260904_161611,blocks-pyramid-t02,img/trials/blocks-pyramid-t02_480.webp,img/trials/blocks-pyramid-t02_960.webp
blocks-pyramid-t03,table1,Table 1 (main results),Block construction,Pyramid,pyramid,03,3,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,26.930476117134095,11120.357,15.279698,20260904_164513,blocks-pyramid-t03,img/trials/blocks-pyramid-t03_480.webp,img/trials/blocks-pyramid-t03_960.webp
blocks-pyramid-t04,table1,Table 1 (main results),Block construction,Pyramid,pyramid,04,4,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,14.869348764419556,6266.921,8.00785,20260904_171625,blocks-pyramid-t04,img/trials/blocks-pyramid-t04_480.webp,img/trials/blocks-pyramid-t04_960.webp
blocks-pyramid-t05,table1,Table 1 (main results),Block construction,Pyramid,pyramid,05,5,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,32.2486336350441,12936.551,15.187046,20260904_173848,blocks-pyramid-t05,img/trials/blocks-pyramid-t05_480.webp,img/trials/blocks-pyramid-t05_960.webp
blocks-twotowers-t01,table1,Table 1 (main results),Block construction,Two towers,two_towers,01,1,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,20.97600338459015,7613.541,9.573538,20260904_215438,blocks-twotowers-t01,img/trials/blocks-twotowers-t01_480.webp,img/trials/blocks-twotowers-t01_960.webp
blocks-twotowers-t02,table1,Table 1 (main results),Block construction,Two towers,two_towers,02,2,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,19.419573096434274,7802.66,9.680696,20260904_232204,blocks-twotowers-t02,img/trials/blocks-twotowers-t02_480.webp,img/trials/blocks-twotowers-t02_960.webp
blocks-twotowers-t03,table1,Table 1 (main results),Block construction,Two towers,two_towers,03,3,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,14.756527582804361,4944.141,6.273978,20260905_000722,blocks-twotowers-t03,img/trials/blocks-twotowers-t03_480.webp,img/trials/blocks-twotowers-t03_960.webp
blocks-twotowers-t04,table1,Table 1 (main results),Block construction,Two towers,two_towers,04,4,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,unclear,unclear,no,no,recorded,22.641433533032735,6909.004,9.010256,20260905_004219,blocks-twotowers-t04,img/trials/blocks-twotowers-t04_480.webp,img/trials/blocks-twotowers-t04_960.webp
blocks-twotowers-t05,table1,Table 1 (main results),Block construction,Two towers,two_towers,05,5,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,29.151611085732778,14389.627,16.850102,20260905_013322,blocks-twotowers-t05,img/trials/blocks-twotowers-t05_480.webp,img/trials/blocks-twotowers-t05_960.webp
blocks-sixblock-t01,table1,Table 1 (main results),Block construction,Six block tower,six_block_tower,01,1,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,46.41243000030518,19075.89,25.2915,20260906_170749,blocks-sixblock-t01,img/trials/blocks-sixblock-t01_480.webp,img/trials/blocks-sixblock-t01_960.webp
blocks-sixblock-t02,table1,Table 1 (main results),Block construction,Six block tower,six_block_tower,02,2,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,failure,explicit failure,explicit failure,no,no,recorded,35.64759381612142,13507.898,17.018444,20260906_175805,blocks-sixblock-t02,img/trials/blocks-sixblock-t02_480.webp,img/trials/blocks-sixblock-t02_960.webp
blocks-sixblock-t03,table1,Table 1 (main results),Block construction,Six block tower,six_block_tower,03,3,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,20.12030586798986,8437.1,10.621992,20260906_184253,blocks-sixblock-t03,img/trials/blocks-sixblock-t03_480.webp,img/trials/blocks-sixblock-t03_960.webp
blocks-sixblock-t04,table1,Table 1 (main results),Block construction,Six block tower,six_block_tower,04,4,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,unclear,unclear,no,no,recorded,17.26916253566742,5086.498,6.69454,20260906_190445,blocks-sixblock-t04,img/trials/blocks-sixblock-t04_480.webp,img/trials/blocks-sixblock-t04_960.webp
blocks-sixblock-t05,table1,Table 1 (main results),Block construction,Six block tower,six_block_tower,05,5,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,54.96599028110504,19846.386,26.779332,20260906_192439,blocks-sixblock-t05,img/trials/blocks-sixblock-t05_480.webp,img/trials/blocks-sixblock-t05_960.webp
dice-flip-t01,table1,Table 1 (main results),Die flipping,Die flipping,die_flipping,01,1,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,36.358525200684866,10158.462,12.567972,20260906_205226,dice-flip-t01,img/trials/dice-flip-t01_480.webp,img/trials/dice-flip-t01_960.webp
dice-flip-t02,table1,Table 1 (main results),Die flipping,Die flipping,die_flipping,02,2,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,56.013102400302884,23603.202,28.758436,20260907_115609,dice-flip-t02,img/trials/dice-flip-t02_480.webp,img/trials/dice-flip-t02_960.webp
dice-flip-t03,table1,Table 1 (main results),Die flipping,Die flipping,die_flipping,03,3,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,47.92242695093155,20189.827,23.723046,20260909_173937,dice-flip-t03,img/trials/dice-flip-t03_480.webp,img/trials/dice-flip-t03_960.webp
dice-flip-t04,table1,Table 1 (main results),Die flipping,Die flipping,die_flipping,04,4,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,51.3603011171023,24999.998,31.201572,20260909_184200,dice-flip-t04,img/trials/dice-flip-t04_480.webp,img/trials/dice-flip-t04_960.webp
dice-flip-t05,table1,Table 1 (main results),Die flipping,Die flipping,die_flipping,05,5,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record: left arm bridge,success,explicit success,explicit success,no,no,recorded,22.608984430631,13350.959,16.34063,20260909_194245,dice-flip-t05,img/trials/dice-flip-t05_480.webp,img/trials/dice-flip-t05_960.webp
throw-potato-t01,table1,Table 1 (main results),Targeted throwing,Targeted throwing (potato),targeted_throwing_potato,01,1,2,GPT-6 Astra,Codex CLI,high,right,confirmed,"single arm (right); session record rig_identity.json for session 20260907_141651: can_channel ""can_follower_r"" (the right follower CAN bus) and runtime config right_arm.yaml; resolved 2026-09-11 from the session's own runtime record",success,explicit success,explicit success,no,no,recorded,22.224342548847197,6254.389,8.706394,20260907_141651,throw-potato-t01,img/trials/throw-potato-t01_480.webp,img/trials/throw-potato-t01_960.webp
throw-potato-t02,table1,Table 1 (main results),Targeted throwing,Targeted throwing (potato),targeted_throwing_potato,02,2,2,GPT-6 Astra,Codex CLI,high,right,confirmed,"single arm (right); session record rig_identity.json for session 20260907_153645: can_channel ""can_follower_r"" (the right follower CAN bus) and runtime config right_arm.yaml; resolved 2026-09-11 from the session's own runtime record",success,explicit success,explicit success,no,no,recorded,23.277297500769297,6257.49,9.17894,20260907_153645,throw-potato-t02,img/trials/throw-potato-t02_480.webp,img/trials/throw-potato-t02_960.webp
